Task ID,Message Type,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Req. Header,Size Req. Body,Size Resp. Header,Size Resp. Body,Highest Alert,State,Payloads
0,Original,Mon Aug 17 18:29:56 IST 2020,GET,http://10.10.10.8/bWAPP/sm_obu_files.php,200,OK,3,441,0,316,13042,Medium,,[]
1,Fuzzed,Mon Aug 17 18:45:05 IST 2020,GET,http://10.10.10.8/backdoor.php,404,Not Found,4,431,0,217,272,,404 Not Found,"[, backdoor.php]"
2,Fuzzed,Mon Aug 17 18:45:05 IST 2020,GET,http://10.10.10.8/config.inc,404,Not Found,8,429,0,217,272,,404 Not Found,"[, config.inc]"
6,Fuzzed,Mon Aug 17 18:45:05 IST 2020,GET,http://10.10.10.8/web.config.bak,404,Not Found,24,433,0,216,272,,404 Not Found,"[, web.config.bak]"
3,Fuzzed,Mon Aug 17 18:45:05 IST 2020,GET,http://10.10.10.8/portal.bak,404,Not Found,28,429,0,217,272,,404 Not Found,"[, portal.bak]"
4,Fuzzed,Mon Aug 17 18:45:05 IST 2020,GET,http://10.10.10.8/portal.zip,404,Not Found,27,429,0,217,272,,404 Not Found,"[, portal.zip]"
5,Fuzzed,Mon Aug 17 18:45:05 IST 2020,GET,http://10.10.10.8/web.config,404,Not Found,7,429,0,217,272,,404 Not Found,"[, web.config]"
7,Fuzzed,Mon Aug 17 18:45:05 IST 2020,GET,http://10.10.10.8/wp-config.bak,404,Not Found,4,432,0,216,272,,404 Not Found,"[, wp-config.bak]"
8,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/backd00r.php,404,Not Found,9,431,0,216,272,,404 Not Found,"[, backd00r.php]"
11,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/p0rtal.zip,404,Not Found,5,429,0,216,272,,404 Not Found,"[, p0rtal.zip]"
9,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/c0nfig.inc,404,Not Found,5,429,0,216,272,,404 Not Found,"[, c0nfig.inc]"
10,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/p0rtal.bak,404,Not Found,4,429,0,216,272,,404 Not Found,"[, p0rtal.bak]"
12,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/web.c0nfig,404,Not Found,5,429,0,216,272,,404 Not Found,"[, web.c0nfig]"
14,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/wp-c0nfig.bak,404,Not Found,3,432,0,216,272,,404 Not Found,"[, wp-c0nfig.bak]"
13,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/web.c0nfig.bak,404,Not Found,3,433,0,216,272,,404 Not Found,"[, web.c0nfig.bak]"
17,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/settings.php.old,404,Not Found,5,435,0,216,272,,404 Not Found,"[, settings.php.old]"
18,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/bWAPP/backdoor.php,200,OK,83,437,0,227,339,,,"[/bWAPP, backdoor.php]"
19,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/bWAPP/config.inc,200,OK,70,435,0,259,780,,,"[/bWAPP, config.inc]"
15,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/config.inc.old,404,Not Found,7,433,0,216,272,,404 Not Found,"[, config.inc.old]"
16,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/old-passwords.txt,404,Not Found,6,436,0,216,272,,404 Not Found,"[, old-passwords.txt]"
22,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/bWAPP/web.config,200,OK,77,435,0,261,7556,,,"[/bWAPP, web.config]"
21,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/bWAPP/portal.zip,200,OK,52,435,0,292,5396,,,"[/bWAPP, portal.zip]"
23,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/bWAPP/web.config.bak,404,Not Found,4,439,0,216,272,,404 Not Found,"[/bWAPP, web.config.bak]"
20,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/bWAPP/portal.bak,200,OK,40,435,0,296,6594,,,"[/bWAPP, portal.bak]"
