Task ID,Message Type,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Req. Header,Size Req. Body,Size Resp. Header,Size Resp. Body,Highest Alert,State,Payloads
0,Original,Fri Aug 21 14:40:01 IST 2020,POST,https://10.10.10.6/bWAPP/bof_1.php,200,OK,53,504,26,431,13355,Medium,,[]
8,Fuzzed,Fri Aug 21 14:54:32 IST 2020,POST,https://10.10.10.6/bWAPP/bof_1.php,200,OK,196,505,100,431,13355,,no overflow,[12345678901234567890123456789012345678901234567890123456789012345678901234567890]
4,Fuzzed,Fri Aug 21 14:54:32 IST 2020,POST,https://10.10.10.6/bWAPP/bof_1.php,200,OK,256,504,60,431,13355,,no overflow,[1234567890123456789012345678901234567890]
3,Fuzzed,Fri Aug 21 14:54:32 IST 2020,POST,https://10.10.10.6/bWAPP/bof_1.php,200,OK,277,504,50,431,13355,,no overflow,[123456789012345678901234567890]
17,Fuzzed,Fri Aug 21 14:54:32 IST 2020,POST,https://10.10.10.6/bWAPP/bof_1.php,200,OK,259,505,190,431,13355,,no overflow,[12345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890]
2,Fuzzed,Fri Aug 21 14:54:32 IST 2020,POST,https://10.10.10.6/bWAPP/bof_1.php,200,OK,312,504,40,431,13355,,no overflow,[12345678901234567890]
20,Fuzzed,Fri Aug 21 14:54:32 IST 2020,POST,https://10.10.10.6/bWAPP/bof_1.php,200,OK,265,505,220,431,13355,,no overflow,[12345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890]
6,Fuzzed,Fri Aug 21 14:54:32 IST 2020,POST,https://10.10.10.6/bWAPP/bof_1.php,200,OK,372,504,80,431,13355,,no overflow,[123456789012345678901234567890123456789012345678901234567890]
25,Fuzzed,Fri Aug 21 14:54:32 IST 2020,POST,https://10.10.10.6/bWAPP/bof_1.php,200,OK,299,505,270,431,13355,,no overflow,[1234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890]
1,Fuzzed,Fri Aug 21 14:54:32 IST 2020,POST,https://10.10.10.6/bWAPP/bof_1.php,200,OK,352,504,30,431,13355,,no overflow,[1234567890]
52,Fuzzed,Fri Aug 21 14:54:33 IST 2020,POST,https://10.10.10.6/bWAPP/bof_1.php,200,OK,138,505,540,430,13026,,,[1234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890]
19,Fuzzed,Fri Aug 21 14:54:32 IST 2020,POST,https://10.10.10.6/bWAPP/bof_1.php,200,OK,341,505,210,431,13355,,no overflow,[1234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890]
50,Fuzzed,Fri Aug 21 14:54:33 IST 2020,POST,https://10.10.10.6/bWAPP/bof_1.php,200,OK,145,505,520,430,13026,,,[12345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890]
53,Fuzzed,Fri Aug 21 14:54:33 IST 2020,POST,https://10.10.10.6/bWAPP/bof_1.php,200,OK,122,505,550,430,13026,,,[12345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890]
58,Fuzzed,Fri Aug 21 14:54:33 IST 2020,POST,https://10.10.10.6/bWAPP/bof_1.php,200,OK,124,505,600,430,13026,,,[1234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890]
60,Fuzzed,Fri Aug 21 14:54:33 IST 2020,POST,https://10.10.10.6/bWAPP/bof_1.php,200,OK,116,505,620,430,13026,,,[123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890]
59,Fuzzed,Fri Aug 21 14:54:33 IST 2020,POST,https://10.10.10.6/bWAPP/bof_1.php,200,OK,118,505,610,430,13026,,,[12345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890]
56,Fuzzed,Fri Aug 21 14:54:33 IST 2020,POST,https://10.10.10.6/bWAPP/bof_1.php,200,OK,165,505,580,430,13026,,,[12345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890]
55,Fuzzed,Fri Aug 21 14:54:33 IST 2020,POST,https://10.10.10.6/bWAPP/bof_1.php,200,OK,136,505,570,430,13026,,,[1234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890]
54,Fuzzed,Fri Aug 21 14:54:33 IST 2020,POST,https://10.10.10.6/bWAPP/bof_1.php,200,OK,139,505,560,430,13026,,,[123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890]
63,Fuzzed,Fri Aug 21 14:54:33 IST 2020,POST,https://10.10.10.6/bWAPP/bof_1.php,200,OK,22,505,650,430,13026,,,[123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890]
64,Fuzzed,Fri Aug 21 14:54:33 IST 2020,POST,https://10.10.10.6/bWAPP/bof_1.php,200,OK,57,505,660,430,13026,,,[1234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890]
61,Fuzzed,Fri Aug 21 14:54:33 IST 2020,POST,https://10.10.10.6/bWAPP/bof_1.php,200,OK,130,505,630,430,13026,,,[1234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890]
